1938,-6.6,-2,3,7.6,12.8,17.4,21.7,22.2,14.4,10.5,4.1,-2.4
1939,-4.7,-4.2,-1.3,5.3,14,19,21,21.3,16.9,10.2,2.1,-0.4
1940,-8.8,-5,-4.2,4.9,11.9,18,21,20.3,15.5,8.8,2.8,-1.8
1941,-5.3,-5.5,-2.9,10.1,14.6,19.7,22.3,19.5,17.6,11,4.5,0
1942,-5.2,-7.1,1.7,9.9,14.1,19.3,20.8,20.2,15.5,9.9,3.1,-4.9
1943,-7.4,-4.3,-1.2,3.5,12.3,21.1,21.6,20.7,15.2,8.8,2.4,-3.7
1944,-2.5,-4.6,-1.8,5,16.1,19.7,21.4,21.9,16.1,9.4,4,-5.9
1945,-10.1,-4.9,6.2,8.4,9.6,16.9,20.3,20.1,16.1,8.4,3.9,-5.9
1946,-4.4,-5.3,5.6,6.7,12.4,17.9,21,18.6,17,12.7,4.9,-1.6
1947,-2.9,-6.8,-2.3,5.4,10.8,18,20.5,23.5,16.8,13.8,1.9,-4
1948,-9.4,-6.3,-0.3,8.8,11.6,18,21.4,20.5,17.7,8.5,6.2,-1.5
1949,-1.7,-2.7,-0.1,6.4,14.5,21.5,23,21.3,14.1,12.2,2,-1.1
1950,-0.8,-5.4,-3.5,3.4,12.7,17.5,19.3,19.5,14.9,11.5,1.5,-4.6
1951,-4,-3.8,0.7,7.1,14.1,18.1,21.1,19.5,15.2,10.8,-0.5,-3
1952,-3.1,-3.5,-0.1,8.9,12,20.4,23,20.1,16.5,7.2,4.5,-0.5
1953,-2.2,-1.7,1.4,6,13.1,19.5,21.4,21,16,11.4,5.4,-0.2
1954,-5.8,-0.8,-1.5,8.2,11.3,19.8,20.5,19.5,16.1,11.6,4.2,-3.3
1955,-5.4,-4.6,0.1,10.4,15.1,18.5,24.7,23.4,16.4,11.3,2.3,-4.4
1956,-4.8,-4.3,-1.8,5.6,11.7,19,20.2,20.4,14,11.6,3.9,-0.1
1957,-8.2,-3.4,1.4,8.5,12.5,19.6,21,19.1,16.1,9.4,3.7,-0.2
1958,-4.7,-7.6,1.1,8.5,12.3,16,21.3,20.1,16.4,10.7,4.6,-7.5
1959,-7,-6.1,-1.3,7.7,14.7,19.1,21.8,23.5,18.2,10.1,1.7,-0.8
1960,-4.1,-4.5,-5.9,8.1,13.1,18.1,20.3,20.6,17.9,10,4.9,-6.1
1961,-7.5,-3,1.5,4.5,11.7,18.3,21.3,20.8,19.5,12.2,4.1,-2.6
1962,-6.5,-6.8,-0.2,7.7,16.4,18.7,20,20.1,14.9,10.8,3.4,-4.5
1963,-9.4,-9.1,0.9,7.4,12.2,18.9,21.6,18.7,14.4,13.6,6.5,-6.3
1964,-3.5,-4.6,0.2,7.2,15.3,18.9,22.4,18,16,8.7,5.2,-2.3
1965,-5.9,-5.1,-2.6,4.2,15.2,17.6,18.5,19,17.2,8.6,4.2,0
1966,-7.4,-4.5,1.5,5.4,10,18.9,22,19.6,14.4,8.8,4.2,-2.6
1967,-2.6,-7.1,-1.4,7.7,9.3,20.5,19.2,18.3,14.3,9.6,1.3,-1.3
1968,-7.2,-7.4,1.3,8.5,10.6,17.6,20.3,20.1,17.6,10.8,3.9,-3.9
1969,-5.2,-5.4,-1.5,7.9,12.4,16.8,21,21.7,16.8,9.2,3.7,-5
1970,-9.7,-5.6,-2.4,7.8,14.2,18.4,21.4,21,16.8,11.7,4.6,-3.1
1971,-7.3,-4.1,-2.1,4.8,12.1,19.9,20.6,19.7,18.1,13.8,3.2,0.2
1972,-5,-6.6,-2.5,4.4,14.1,16.1,20.8,19.5,16.5,7.6,1.9,-1.4
1973,-3.5,-6.2,4.4,7.6,11.6,20.1,21.5,21.7,16.6,11.9,4.3,-3.3
1974,-4.2,-6.7,-0.3,7.9,11,17.8,20.9,20.4,14.3,8.3,4,-1.5
1975,-3,-3.4,-2.1,3.3,16.5,19.4,21.3,20.6,13.6,10.6,7.4,-2.8
1976,-8.2,-1.5,2.4,8,11.6,20.3,20.4,19,14.8,7.4,-0.1,-6.6
1977,-11.1,-5.6,3.2,8.8,15.7,17.6,21.9,19.4,16.6,9.1,4.4,-3.6
1978,-7.9,-10.6,-3.8,5.6,13.8,17.6,20.3,20.8,16.5,9,3.6,-2.1
1979,-7.7,-10.2,2.3,5.4,12.3,17.9,20.3,19.4,16,9.2,3.9,-0.5
1980,-4.7,-7.1,-1.4,6.7,14.2,15.9,21.1,22.1,16,7.4,2.5,-5
1981,-8.4,-2.4,0.3,8.1,12.5,18.6,21.4,20.3,15.4,7.7,4.1,-2.6
1982,-8.7,-7.3,-1.2,5.1,16.4,16.7,21.6,18.6,15.5,10.7,5.1,2.3
1983,-3,-1.9,1.9,6.2,10.7,19,22.7,21.7,17.3,10.5,4.4,-6
1984,-8.3,-0.5,-3.4,8.2,11.3,19.9,20.4,21.3,15.2,12,4,0.2
1985,-6.8,-5.6,1.6,9.7,15.1,16.8,20.5,19.8,17.3,10.7,4.7,-4.9
1986,-4.7,-5.3,1.6,8.5,15.2,18.1,21.7,19.2,16.2,10.1,2.1,-1.3
1987,-4.5,-4.6,2.4,9.4,15.9,20.7,23.7,20.1,16.7,7.6,5.1,0.5
1988,-4.4,-5.5,0.4,7.2,15.1,18.9,23.4,22.1,16,7.4,5.3,-2.1
1989,-1.5,-5.7,0,5.9,13.7,18.9,22.1,20.2,16,10.4,2.8,-9
1990,-0.8,-2.4,2.5,8.8,12.3,18.6,20.8,20.2,15.7,9.9,5.4,-0.6
1991,-5.3,-1.7,2.2,9.6,17.5,20.5,21.6,21.4,15.7,11.3,2.8,-1.6
1992,-3.5,-3.4,0.1,6.1,13.6,16.5,18.9,17.9,15.9,8.2,3.5,-1
1993,-2.9,-7,-1.3,7.2,13.1,18.2,21.7,21.3,13.9,8.8,3.5,-2.1
1994,-10.4,-7.7,-0.6,7.9,11.7,19.4,21.3,18.9,16.3,10.6,6,0.4
1995,-2.7,-6.6,2,5,13.5,20.8,22.1,22.8,15.1,11.4,1.1,-4.8
1996,-6,-4.9,-2.6,5.3,12.6,19.6,20,20.6,16.3,10.3,1.1,-0.4
1997,-5.4,-2.5,0.6,5.8,9.6,19.7,20.8,18.7,16.2,10.2,2.6,-1
1998,-1.2,0.2,2.4,8.6,17.6,19.3,21.4,21.8,18.7,11.3,5.4,1.4
1999,-6,-0.9,-0.2,8.5,15.6,20.4,23.9,19.9,17.9,9.7,6.1,-0.5
2000,-5.2,-2.2,5.1,7.2,14.8,19.3,19.9,20,15.9,11.6,3.6,-7.3
2001,-4.3,-2.8,-0.5,8.8,14.7,19.4,21,22.6,16,10.6,7.8,1.2
2002,-0.6,-1.3,0.9,7.9,11,19.9,23.7,22,19.7,9,3.4,-2.7
2003,-7.7,-6.6,-0.3,6.2,12.4,18.2,21.1,21.7,16.7,9.4,5.7,-0.3
2004,-8.6,-3.8,2.5,7.8,14.1,17.9,20.8,19,17.8,11.2,5.5,-2.5
2005,-6.2,-4.3,-2,8.3,12.1,22.4,23.4,22.1,18.9,11.5,5.4,-4
2006,0.7,-3.1,1,9.1,14.4,19.3,23.1,20.9,15.4,8.8,5.8,2.1
2007,-2.3,-7.9,1.7,6.4,15.1,20.5,20.8,21.4,18,14.6,3.2,-2.6
2008,-2,-5.1,-1.6,10,12,20,21.9,20,17.5,9.5,3,-2.9
2009,-8.5,-3.2,1.7,8.5,13.7,18.1,19,20.6,16.8,9,6.8,-2
2010,-5,-4.1,3.7,10.4,15.4,19.5,22.3,22,16.2,10.7,4.4,-4.8
2011,-7.3,-5.7,-1,7.2,14.6,18.8,23.4,20.9,16.8,10.4,6.9,0.7
2012,-2.4,-0.8,7.7,7.2,16.4,20.1,23.4,20.6,16,10.3,3.1,1
2013,-2.9,-5,-0.6,6.1,15.1,18.7,21.6,19.7,16.2,11.8,2,-4.3
2014,-8.9,-9.4,-4.7,6.6,14.1,20,19.2,19.5,16.2,10.5,1.7,-0.1
2015,-7.8,-12.7,-2.1,6.9,16.1,18.3,20.3,19.8,18.9,10.2,6.8,3.7
2016,-4.1,-2.3,3.8,5.9,14.4,18.7,22,22.5,18.6,11.2,6.6,-2.3
2017,-1.9,0.5,0.5,10,12.4,19.5,21.3,19.3,17.7,12.9,3.3,-4.9
